Hour,FailedLogons_4625,SuccessfulLogons_4624
2026-08-15 13:00,241,90
2026-08-15 14:00,2515,174
2026-08-15 15:00,3171,177
2026-08-15 16:00,3190,177
2026-08-15 17:00,2492,184
2026-08-15 18:00,1702,173
2026-08-15 19:00,391,188
2026-08-15 20:00,347,178
2026-08-15 21:00,482,172
2026-08-15 22:00,571,179
2026-08-15 23:00,513,184
2026-08-16 00:00,537,179
2026-08-16 01:00,496,175
2026-08-16 02:00,436,182
2026-08-16 03:00,502,187
2026-08-16 04:00,578,175
2026-08-16 05:00,515,178
2026-08-16 06:00,461,174
2026-08-16 07:00,227,179
2026-08-16 08:00,252,175
2026-08-16 09:00,370,179
2026-08-16 10:00,317,177
2026-08-16 11:00,503,182
2026-08-16 12:00,229,185
2026-08-16 13:00,226,174
2026-08-16 14:00,312,178
2026-08-16 15:00,230,173
2026-08-16 16:00,240,179
2026-08-16 17:00,260,178
2026-08-16 18:00,229,176
2026-08-16 19:00,229,187
2026-08-16 20:00,221,175
2026-08-16 21:00,226,182
2026-08-16 22:00,1498,174
2026-08-16 23:00,3501,185
2026-08-17 00:00,3300,177
2026-08-17 01:00,3165,184
2026-08-17 02:00,3288,184
2026-08-17 03:00,3315,191
2026-08-17 04:00,3233,194
2026-08-17 05:00,3172,178
2026-08-17 06:00,3179,179
2026-08-17 07:00,3060,181
2026-08-17 08:00,3109,173
2026-08-17 09:00,469,25
